sustainability feasible innovative novelty 
1, [7, 7, 7, 6]
2, [2, 1, 1, 1]
3, [3, 4, 4, 2]
4, [4, 3, 3, 3]
5, [5, 10, 5, 10]
6, [9, 3, 5, 3]
8, [7, 6, 7, 2]
9, [10, 7, 7, 7]
10, [1, 1, 1, 1]
11, [5, 5, 5, 3]
12, [4, 7, 4, 7]
13, [3, 2, 2, 2]
15, [4, 2, 4, 4]
16, [5, 2, 3, 3]
17, [3, 3, 4, 3]
18, [6, 5, 5, 6]
19, [5, 3, 5, 2]
20, [6, 6, 4, 2]
21, [0, 0, 0, 0]
22, [4, 4, 4, 4]
24, [2, 3, 3, 3]
25, [5, 3, 5, 2]
26, [1, 2, 3, 4]
27, [2, 2, 2, 2]
28, [3, 3, 3, 3]
29, [8, 11, 8, 6]
31, [5, 9, 5, 5]
32, [10, 11, 10, 13]
33, [3, 3, 3, 1]
34, [4, 2, 4, 2]
36, [3, 3, 3, 3]
37, [3, 6, 6, 4]
38, [5, 6, 5, 2]
40, [2, 2, 2, 2]
41, [4, 12, 3, 3]
42, [3, 3, 3, 2]
43, [4, 4, 4, 2]
44, [5, 6, 3, 3]
45, [4, 4, 4, 4]
46, [2, 2, 2, 2]
47, [4, 3, 4, 2]
48, [3, 2, 3, 2]
49, [1, 1, 1, 1]
50, [3, 2, 3, 1]
51, [3, 3, 4, 2]
53, [4, 4, 8, 2]
54, [3, 3, 5, 2]
55, [11, 6, 6, 2]
56, [7, 3, 3, 3]
57, [6, 3, 6, 3]
58, [1, 2, 5, 1]
59, [2, 2, 2, 2]
60, [2, 2, 2, 2]
61, [3, 3, 3, 3]
63, [0, 0, 0, 0]
64, [6, 6, 6, 6]
65, [3, 3, 3, 2]
66, [13, 3, 8, 3]
67, [6, 5, 3, 3]
68, [1, 1, 1, 1]
69, [4, 2, 4, 3]
71, [1, 1, 1, 1]
72, [2, 7, 2, 2]
73, [2, 4, 3, 3]
75, [3, 4, 4, 3]
76, [8, 8, 8, 7]
77, [1, 1, 1, 1]
78, [3, 5, 3, 3]
80, [7, 10, 7, 2]
81, [4, 3, 4, 2]
82, [7, 7, 5, 3]
83, [6, 7, 7, 2]
84, [8, 7, 8, 3]
85, [2, 1, 2, 3]
86, [7, 3, 6, 7]
87, [4, 4, 4, 4]
88, [8, 9, 3, 2]
89, [8, 2, 3, 4]
90, [3, 2, 3, 2]
91, [6, 3, 10, 4]
92, [1, 2, 2, 1]
93, [3, 4, 3, 3]
94, [4, 3, 4, 1]
96, [5, 5, 5, 2]
97, [6, 6, 6, 2]
98, [3, 3, 3, 2]
99, [5, 5, 3, 2]
101, [4, 4, 6, 3]
102, [2, 2, 2, 2]
103, [3, 2, 2, 2]
104, [5, 3, 3, 4]
106, [4, 4, 4, 4]
107, [4, 4, 4, 5]
108, [3, 4, 3, 3]
109, [3, 5, 5, 5]
110, [4, 3, 3, 3]
111, [7, 7, 7, 4]
112, [6, 10, 4, 2]
113, [6, 6, 6, 2]
114, [6, 6, 6, 1]
115, [2, 3, 9, 2]
116, [4, 7, 7, 4]
